Date,Growth,Demand,Farm Cover,Cover/LU,Grazing Area,Total/LU,LU/HA,month,day,seasons,Growth_Inc
2020-03-16,11,15,990,460,31.4,46.0,2.15,3,16,Spring,-1.0
2020-03-23,10,23,854,373,31.4,49.0,2.29,3,23,Spring,20.0
2020-03-30,30,26,746,313,31.4,51.0,2.38,3,30,Spring,-5.0
2020-04-06,25,36,588,213,31.4,59.0,2.76,4,6,Spring,12.0
2020-04-13,37,42,576,206,31.4,60.0,2.8,4,13,Spring,16.0
2020-04-20,53,53,646,180,31.4,76.7,3.58,4,20,Spring,9.0
2020-04-23,62,53,677,189,31.4,76.7,3.58,4,23,Spring,-24.0
2020-04-27,38,57,632,164,29.88,76.7,3.86,4,27,Spring,18.0
2020-04-30,56,57,667,173,29.88,76.7,3.86,4,30,Spring,-19.0
2020-05-04,37,54,675,175,29.88,76.7,3.86,5,4,Spring,-7.0
2020-05-07,30,55,634,162,29.88,77.7,3.91,5,7,Spring,14.0
2020-05-11,44,51,702,193,31.4,77.7,3.63,5,11,Spring,4.0
2020-05-14,48,35,490,194,21.4,79.0,2.52,5,14,Spring,-22.0
2020-05-18,26,52,713,193,21.4,79.0,3.69,5,18,Spring,40.0
2020-05-21,66,52,751,204,21.4,79.0,3.69,5,21,Spring,-15.0
2020-05-25,51,52,734,199,21.4,79.0,3.69,5,25,Spring,24.0
2020-05-28,75,52,803,218,21.4,79.0,3.69,5,28,Spring,-29.0
2020-06-01,46,52,767,208,20.4,79.0,3.69,6,1,Spring,7.0
2020-06-04,53,52,655,178,20.4,79.0,3.69,6,4,Spring,-23.0
2020-06-08,30,55,637,173,21.4,79.0,3.69,6,8,Spring,9.0
2020-06-11,39,55,619,168,21.4,79.0,3.69,6,11,Spring,-4.0
2020-06-15,35,52,592,160,21.4,79.0,3.69,6,15,Spring,7.0
2020-06-18,42,52,633,172,21.4,79.0,3.69,6,18,Spring,-3.0
2020-06-22,39,52,600,163,19.88,79.0,3.69,6,22,Spring,17.0
2020-06-29,56,55,590,160,21.4,79.0,3.69,6,29,Spring,-4.0
2020-07-06,52,55,566,153,21.4,79.0,3.69,7,6,Spring,15.0
2020-07-13,67,39,383,147,20.3,79.0,2.61,7,13,Spring,4.0
2020-07-20,71,55,787,202,20.3,79.0,3.89,7,20,Spring,2.0
2020-07-27,73,55,872,224,20.3,79.0,3.89,7,27,Spring,3.0
2020-08-03,76,55,874,225,20.3,79.0,3.89,8,3,Spring,-26.0
2020-08-11,50,55,742,187,19.6,77.7,3.96,8,11,Spring,36.0
2020-08-17,86,46,882,288,19.6,60.0,3.06,8,17,Spring,-23.0
2020-08-24,63,43,983,345,20.7,59.0,2.85,8,24,Spring,-5.0
2020-08-31,58,43,994,349,20.7,59.0,2.85,8,31,Spring,-9.0
2020-09-07,49,43,1000,351,20.7,59.0,2.85,9,7,Spring,-9.0
2020-09-14,40,41,990,359,21.4,59.0,2.76,9,14,Spring,9.0
2020-09-21,49,32,1238,576,27.4,59.0,2.15,9,21,Spring,-16.0
2020-09-28,33,28,1062,565,31.4,59.0,1.88,9,28,Spring,-7.0
2020-10-05,26,32,976,454,27.4,59.0,2.15,10,5,Spring,-1.0
2020-10-12,25,29,763,367,27.4,57.0,2.08,10,12,Spring,-6.0
2020-10-20,19,27,720,271,21.4,57.0,2.66,10,20,Spring,-4.0
2020-10-27,15,26,692,264,21.4,56.0,2.62,10,27,Spring,-5.0
2020-11-02,10,26,701,268,21.4,56.0,2.62,11,2,Spring,-2.0
2020-11-09,8,26,649,248,21.4,56.0,2.62,11,9,Spring,-3.0
2020-11-17,5,0,645,0,21.4,0.0,0.0,11,17,Spring,3.0
2020-11-25,8,0,711,0,21.4,0.0,0.0,11,25,Spring,-3.0
2021-01-10,5,0,904,0,21.4,0.0,0.0,1,10,Spring,-1.0
2021-01-25,4,0,961,0,21.4,0.0,0.0,1,25,Spring,0.0
2021-02-07,4,0,1008,0,21.4,0.0,0.0,2,7,Spring,2.0
2021-02-22,6,8,1062,948,21.4,24.0,1.12,2,22,Spring,6.0
2021-03-01,12,15,1071,714,21.4,32.0,1.5,3,1,Spring,-3.0
2021-03-08,9,22,982,501,21.4,42.0,1.96,3,8,Spring,5.0
2021-03-15,14,26,792,360,21.4,47.0,2.2,3,15,Spring,7.0
2021-03-22,21,31,657,276,21.4,51.0,2.38,3,22,Spring,4.0
2021-03-29,25,41,484,150,21.4,69.1,3.23,3,29,Spring,4.0
2021-04-05,29,36,415,125,21.4,71.1,3.32,4,5,Spring,-4.0
2021-04-12,25,37,377,112,21.4,72.1,3.37,4,12,Spring,6.0
2021-04-01,31,35,332,96,21.4,74.1,3.46,4,1,Spring,20.0
2021-04-26,51,36,412,114,21.4,77.1,3.6,4,26,Spring,-16.0
2021-05-03,35,44,470,126,21.4,80.1,3.74,5,3,Spring,
